ArtID	DisplayName	IconKey	Status	Master	AtlasInput	Prompt	Notes
15	Double Slash	aow_15_double_slash	finalized	python_scripts/weapon_art_icons/source/aow_15_double_slash.png	python_scripts/weapon_art_icons/icons/aow_15_double_slash.png	python_scripts/weapon_art_icons/prompts/aow_15_double_slash.md	Owner approved 2026-08-23; effect-first single-slash glyph with French-medieval Breton knight; catalogue wiring waits for atlas build
16	Dragon Strike	aow_16_dragon_strike	finalized	python_scripts/weapon_art_icons/source/aow_16_dragon_strike.png	python_scripts/weapon_art_icons/icons/aow_16_dragon_strike.png	python_scripts/weapon_art_icons/prompts/aow_16_dragon_strike.md	Owner approved 2026-08-23; frontal foreshortened white-hot flaming strike with abstract fire-jaw curls; catalogue wiring waits for atlas build
17	Dual Flurry	aow_17_dual_flurry	finalized	python_scripts/weapon_art_icons/source/aow_17_dual_flurry.png	python_scripts/weapon_art_icons/icons/aow_17_dual_flurry.png	python_scripts/weapon_art_icons/prompts/aow_17_dual_flurry.md	Owner supplied and approved Gemini-generated final cut 2026-08-23; Nord barbarian dual-axe cross-cut with blade-driven red trails; catalogue wiring waits for atlas build
18	Earth Shatter	aow_18_earth_shatter	finalized	python_scripts/weapon_art_icons/source/aow_18_earth_shatter.png	python_scripts/weapon_art_icons/icons/aow_18_earth_shatter.png	python_scripts/weapon_art_icons/prompts/aow_18_earth_shatter.md	Goal-mode one-shot finalized 2026-08-23; vertical Orsimer warhammer impact with nonmagical dust and stone; catalogue wiring waits for atlas build
19	Eldritch Beam	aow_19_eldritch_beam	finalized	python_scripts/weapon_art_icons/source/aow_19_eldritch_beam.png	python_scripts/weapon_art_icons/icons/aow_19_eldritch_beam.png	python_scripts/weapon_art_icons/prompts/aow_19_eldritch_beam.md	Goal-mode one-shot finalized 2026-08-23; right-palm horizontal green beam with payload-proven terminal fire fringe; catalogue wiring waits for atlas build
20	Elegant Slash	aow_20_elegant_slash	finalized	python_scripts/weapon_art_icons/source/aow_20_elegant_slash.png	python_scripts/weapon_art_icons/icons/aow_20_elegant_slash.png	python_scripts/weapon_art_icons/prompts/aow_20_elegant_slash.md	Goal-mode one-shot finalized 2026-08-23; effect-first rising ivory sword slash with tiny lunge source; catalogue wiring waits for atlas build
21	Enrage (F)	aow_21_enrage_f	finalized	python_scripts/weapon_art_icons/source/aow_21_enrage_f.png	python_scripts/weapon_art_icons/icons/aow_21_enrage_f.png	python_scripts/weapon_art_icons/prompts/aow_21_enrage_f.md	Goal-mode one-shot finalized 2026-08-23; payload-proven crimson weapon crescent with subordinate faceless female source; catalogue wiring waits for atlas build
22	Enrage (M)	aow_22_enrage_m	finalized	python_scripts/weapon_art_icons/source/aow_22_enrage_m.png	python_scripts/weapon_art_icons/icons/aow_22_enrage_m.png	python_scripts/weapon_art_icons/prompts/aow_22_enrage_m.md	Goal-mode one-shot finalized 2026-08-23; effect-first weaponless upward pressure shout with tiny source figure; catalogue wiring waits for atlas build
23	Flurry Strike	aow_23_flurry_strike	finalized	python_scripts/weapon_art_icons/source/aow_23_flurry_strike.png	python_scripts/weapon_art_icons/icons/aow_23_flurry_strike.png	python_scripts/weapon_art_icons/prompts/aow_23_flurry_strike.md	Owner-directed narrow correction 2026-08-23 removed three invented upper trail echoes; one axe-connected ground sweep remains; catalogue wiring waits for atlas build
24	Focused Cross	aow_24_focused_cross	finalized	python_scripts/weapon_art_icons/source/aow_24_focused_cross.png	python_scripts/weapon_art_icons/icons/aow_24_focused_cross.png	python_scripts/weapon_art_icons/prompts/aow_24_focused_cross.md	Owner-directed narrow correction 2026-08-23 removed detached floating mace; effect-first cross impact remains; catalogue wiring waits for atlas build
25	Focused Strike	aow_25_focused_strike	finalized	python_scripts/weapon_art_icons/source/aow_25_focused_strike.png	python_scripts/weapon_art_icons/icons/aow_25_focused_strike.png	python_scripts/weapon_art_icons/prompts/aow_25_focused_strike.md	Goal-mode one-shot finalized 2026-08-23; one connected descending Altmer sword strike with no echo trails; catalogue wiring waits for atlas build
26	Furious Charge	aow_26_furious_charge	finalized	python_scripts/weapon_art_icons/source/aow_26_furious_charge.png	python_scripts/weapon_art_icons/icons/aow_26_furious_charge.png	python_scripts/weapon_art_icons/prompts/aow_26_furious_charge.md	Goal-mode one-shot finalized 2026-08-23; animation-proven Imperial shield charge with one continuous wake and no weapon; catalogue wiring waits for atlas build
27	Furrow Strike	aow_27_furrow_strike	finalized	python_scripts/weapon_art_icons/source/aow_27_furrow_strike.png	python_scripts/weapon_art_icons/icons/aow_27_furrow_strike.png	python_scripts/weapon_art_icons/prompts/aow_27_furrow_strike.md	Goal-mode one-shot finalized 2026-08-23; one Nord greatsword carves one physical perspective furrow; catalogue wiring waits for atlas build
28	Head Chopper	aow_28_head_chopper	hard_failure			python_scripts/weapon_art_icons/prompts/aow_28_head_chopper.md	One-shot hard failure 2026-08-23: active left axe became a polearm-length one-handed weapon; evidence preserved under ignored pilot tree; not finalized
29	Head Tap	aow_29_head_tap	finalized	python_scripts/weapon_art_icons/source/aow_29_head_tap.png	python_scripts/weapon_art_icons/icons/aow_29_head_tap.png	python_scripts/weapon_art_icons/prompts/aow_29_head_tap.md	Goal-mode one-shot finalized 2026-08-23; one Argonian two-handed warhammer and one vertical final impact; catalogue wiring waits for atlas build
30	Heart Lunge	aow_30_heart_lunge	finalized	python_scripts/weapon_art_icons/source/aow_30_heart_lunge.png	python_scripts/weapon_art_icons/icons/aow_30_heart_lunge.png	python_scripts/weapon_art_icons/prompts/aow_30_heart_lunge.md	Goal-mode one-shot finalized 2026-08-23; one Redguard straight-sword thrust with no heart or blood invention; catalogue wiring waits for atlas build
31	Heart Strike	aow_31_heart_strike	hard_failure			python_scripts/weapon_art_icons/prompts/aow_31_heart_strike.md	One-shot hard failure 2026-08-23: mace and partial haft float at the trail endpoint while figure holds no weapon; evidence preserved under ignored pilot tree; not finalized
32	Heavy Swing	aow_32_heavy_swing	in_progress				Not started
